year,team,division_rank,playoffs,attendance_game_avg,attendance_league_rank,est_payroll,ppf,bpf,stadium
2010,BOS,3,0,37610,4th of 14,164507333.0,105,106,Fenway Park
2011,BOS,3,0,37704,4th of 14,166662475.0,105,105,Fenway Park
2012,BOS,5,0,37568,4th of 14,110386000.0,103,104,Fenway Park
2013,BOS,1,2,34979,5th of 15,175395500.0,103,103,Fenway Park
2014,BOS,5,0,36495,3rd of 15,134628929.0,104,104,Fenway Park
2015,BOS,5,0,35564,3rd of 15,183931900.0,107,107,Fenway Park
2016,BOS,1,1,36487,4th of 15,218682750.0,106,106,Fenway Park
2017,BOS,1,1,36021,4th of 15,200550750.0,104,105,Fenway Park
2018,BOS,1,2,35748,4th of 15,222205000.0,103,104,Fenway Park
2019,BOS,3,0,36107,3rd of 15,218978142.0,104,105,Fenway Park
1995,CHC,3,0,26643,5th of 14,29505834.0,97,97,Wrigley Field
1996,CHC,4,0,27396,5th of 14,33081000.0,102,102,Wrigley Field
1997,CHC,5,0,27041,6th of 14,42155333.0,102,102,Wrigley Field
1998,CHC,2,1,31990,6th of 16,50838000.0,103,103,Wrigley Field
1999,CHC,6,0,34739,6th of 16,62343000.0,98,97,Wrigley Field
2000,CHC,6,0,34438,9th of 16,60539333.0,98,97,"Wrigley Field, Tokyo Dome"
2001,CHC,3,0,34314,8th of 16,64715833.0,95,95,Wrigley Field
2002,CHC,5,0,33248,7th of 16,75690833.0,98,98,Wrigley Field
2003,CHC,1,1,36576,3rd of 16,79868333.0,101,101,Wrigley Field
2004,CHC,3,0,38660,4th of 16,90560000.0,102,102,Wrigley Field
2005,CHC,4,0,38272,4th of 16,87032933.0,104,104,Wrigley Field
2006,CHC,6,0,38558,5th of 16,94424499.0,103,103,Wrigley Field
2007,CHC,1,1,40154,4th of 16,101670332.0,104,105,Wrigley Field
2008,CHC,1,1,40743,5th of 16,120345833.0,106,107,Wrigley Field
2009,CHC,2,0,39611,4th of 16,139652000.0,106,107,Wrigley Field
2010,CHC,5,0,37814,4th of 16,146609002.0,105,104,Wrigley Field
2011,CHC,5,0,37259,5th of 16,136547329.0,102,101,Wrigley Field
2012,CHC,5,0,35590,5th of 16,86159366.0,103,101,Wrigley Field
2013,CHC,5,0,32626,7th of 15,67874166.0,103,102,Wrigley Field
2014,CHC,5,0,32742,6th of 15,59800500.0,103,102,Wrigley Field
2015,CHC,3,1,36039,4th of 15,115306610.0,97,98,Wrigley Field
2016,CHC,1,2,39906,4th of 15,176097333.0,100,101,Wrigley Field
2017,CHC,1,1,39501,4th of 15,177210667.0,101,103,Wrigley Field
2018,CHC,2,1,38794,4th of 15,205373881.0,103,104,Wrigley Field
2019,CHC,3,0,38208,3rd of 15,217805215.0,101,102,Wrigley Field
1995,CHW,3,0,22358,9th of 14,46961282.0,95,96,Comiskey Park II
1996,CHW,2,0,20696,9th of 14,45289500.0,95,95,Comiskey Park II
1997,CHW,2,0,23022,8th of 14,57740000.0,96,96,Comiskey Park II
1998,CHW,2,0,16965,12th of 14,39850000.0,98,97,Comiskey Park II
1999,CHW,2,0,16529,13th of 14,25820000.0,101,101,Comiskey Park II
2000,CHW,1,1,24047,9th of 14,31743500.0,102,102,Comiskey Park II
2001,CHW,3,0,21805,12th of 14,65653667.0,103,104,Comiskey Park II
2002,CHW,2,0,20703,10th of 14,57052833.0,101,101,Comiskey Park II
2003,CHW,2,0,23945,9th of 14,51010000.0,102,102,U.S. Cellular Field
2004,CHW,2,0,23834,8th of 14,65212500.0,101,102,U.S. Cellular Field
2005,CHW,1,2,28924,7th of 14,75178000.0,103,103,U.S. Cellular Field
2006,CHW,3,0,36511,3rd of 14,102750667.0,104,104,U.S. Cellular Field
2007,CHW,4,0,33141,5th of 14,108671833.0,104,104,U.S. Cellular Field
2008,CHW,1,1,30496,5th of 14,121189332.0,105,104,U.S. Cellular Field
2009,CHW,3,0,28200,6th of 14,101081000.0,105,105,U.S. Cellular Field
2010,CHW,2,0,27091,7th of 14,107195000.0,103,103,U.S. Cellular Field
2011,CHW,3,0,24705,7th of 14,127789000.0,106,106,U.S. Cellular Field
2012,CHW,2,0,24271,9th of 14,118208000.0,104,104,U.S. Cellular Field
2013,CHW,5,0,21832,10th of 15,81401900.0,105,104,U.S. Cellular Field
2014,CHW,4,0,20381,13th of 15,87475500.0,98,97,U.S. Cellular Field
2015,CHW,4,0,21677,13th of 15,112889700.0,97,96,U.S. Cellular Field
2016,CHW,4,0,21559,12th of 15,113416000.0,96,96,U.S. Cellular Field
2017,CHW,4,0,20117,13th of 15,97842000.0,98,97,Guaranteed Rate Field
2018,CHW,4,0,19862,12th of 15,75092000.0,99,98,Guaranteed Rate Field
2019,CHW,3,0,20622,10th of 15,80846333.0,99,97,Guaranteed Rate Field
1995,CIN,1,1,25523,6th of 14,43144670.0,98,99,Riverfront Stadium
1996,CIN,3,0,22981,8th of 14,42526334.0,100,100,Cinergy Field
1997,CIN,3,0,22047,9th of 14,49768000.0,102,102,Cinergy Field
1998,CIN,4,0,22144,12th of 16,23005000.0,102,102,Cinergy Field
1999,CIN,2,0,25137,11th of 16,33962761.0,102,103,Cinergy Field
2000,CIN,2,0,31431,10th of 16,46867200.0,102,102,Cinergy Field
2001,CIN,5,0,23207,13th of 16,48986000.0,105,105,Cinergy Field
2002,CIN,3,0,22911,12th of 16,45050390.0,104,104,Cinergy Field
2003,CIN,5,0,29077,8th of 16,59355667.0,96,95,Great American Ball Park
2004,CIN,4,0,28238,12th of 16,46915250.0,98,97,Great American Ball Park
2005,CIN,5,0,23696,13th of 16,61892583.0,101,100,Great American Ball Park
2006,CIN,3,0,26353,12th of 16,60909519.0,104,104,Great American Ball Park
2007,CIN,5,0,25415,13th of 16,68524980.0,104,104,Great American Ball Park
2008,CIN,5,0,25415,14th of 16,74167695.0,102,102,Great American Ball Park
2009,CIN,4,0,21579,14th of 16,78979000.0,100,100,Great American Ball Park
2010,CIN,1,1,25439,12th of 16,75321542.0,101,102,Great American Ball Park
2011,CIN,3,0,27328,10th of 16,77297134.0,103,104,Great American Ball Park
2012,CIN,1,1,28978,10th of 16,80309500.0,104,104,Great American Ball Park
2013,CIN,3,1,31151,10th of 15,106255535.0,101,101,Great American Ball Park
2014,CIN,4,0,30576,8th of 15,102230000.0,100,100,Great American Ball Park
2015,CIN,5,0,29870,11th of 15,111572286.0,101,100,Great American Ball Park
2016,CIN,5,0,23384,14th of 15,77329561.0,102,101,Great American Ball Park
2017,CIN,5,0,22678,14th of 15,79315786.0,103,101,Great American Ball Park
2018,CIN,5,0,20116,13th of 15,94587500.0,103,102,Great American Ball Park
2019,CIN,4,0,22329,13th of 15,109737499.0,103,103,Great American Ball Park
1995,CLE,1,1,39483,2nd of 14,38057835.0,99,101,Jacobs Field
1996,CLE,1,1,41477,2nd of 14,48216360.0,97,99,Jacobs Field
1997,CLE,1,1,42034,2nd of 14,56802460.0,102,103,Jacobs Field
1998,CLE,1,1,42806,2nd of 14,61718166.0,102,103,Jacobs Field
1999,CLE,1,1,42820,1st of 14,73679962.0,102,103,Jacobs Field
2000,CLE,2,0,42670,1st of 14,76972271.0,100,101,Jacobs Field
2001,CLE,1,1,39694,3rd of 14,93360001.0,100,100,Jacobs Field
2002,CLE,3,0,32308,5th of 14,78909449.0,98,97,Jacobs Field
2003,CLE,4,0,21358,12th of 14,48584834.0,97,96,Jacobs Field
2004,CLE,3,0,22400,12th of 14,34319300.0,94,94,Jacobs Field
2005,CLE,2,0,24861,12th of 14,41502500.0,96,96,Jacobs Field
2006,CLE,4,0,24667,11th of 14,56031500.0,98,99,Jacobs Field
2007,CLE,1,1,28449,9th of 14,61673267.0,100,101,"Jacobs Field, Miller Park"
2008,CLE,3,0,26787,9th of 14,78970066.0,97,98,Progressive Field
2009,CLE,4,0,21805,13th of 14,85224866.0,95,95,Progressive Field
2010,CLE,4,0,17181,14th of 14,61203966.0,95,94,Progressive Field
2011,CLE,2,0,22726,9th of 14,49426566.0,96,94,Progressive Field
2012,CLE,4,0,19797,13th of 14,78911300.0,95,94,Progressive Field
2013,CLE,2,1,19419,14th of 15,87342433.0,95,95,Progressive Field
2014,CLE,3,0,17746,15th of 15,73509399.0,102,103,Progressive Field
2015,CLE,3,0,17361,14th of 15,59163766.0,107,107,Progressive Field
2016,CLE,1,1,19650,13th of 15,94511067.0,107,109,Progressive Field
2017,CLE,1,1,25286,11th of 15,114427167.0,104,106,Progressive Field
2018,CLE,1,1,23786,9th of 15,143375233.0,101,103,Progressive Field
2019,CLE,2,0,21465,9th of 15,151257783.0,102,104,Progressive Field
1995,COL,2,1,47084,1st of 14,34154717.0,128,128,Coors Field
1996,COL,3,0,48037,1st of 14,40324823.0,123,123,Coors Field
1997,COL,3,0,48006,1st of 14,43559667.0,123,122,Coors Field
1998,COL,4,0,46823,1st of 16,50484648.0,122,121,Coors Field
1999,COL,5,0,42976,1st of 16,61935837.0,127,126,Coors Field
2000,COL,4,0,40681,3rd of 16,61111190.0,125,125,Coors Field
2001,COL,5,0,39097,2nd of 16,71541334.0,122,122,Coors Field
2002,COL,4,0,33800,6th of 16,56851043.0,116,115,Coors Field
2003,COL,4,0,28816,9th of 16,67179667.0,116,115,Coors Field
2004,COL,4,0,28865,9th of 16,65445167.0,114,113,Coors Field
2005,COL,5,0,23634,14th of 16,47839000.0,113,112,Coors Field
2006,COL,4,0,25980,13th of 16,41233000.0,109,109,Coors Field
2007,COL,2,1,28979,11th of 16,54041000.0,108,107,Coors Field
2008,COL,3,0,32719,9th of 16,68655500.0,109,109,Coors Field
2009,COL,2,1,32902,8th of 16,79250200.0,112,112,Coors Field
2010,COL,3,0,35497,6th of 16,90677000.0,115,115,Coors Field
2011,COL,4,0,35923,7th of 16,91648071.0,119,119,Coors Field
2012,COL,5,0,32475,7th of 16,75485000.0,117,117,Coors Field
2013,COL,5,0,34492,5th of 15,73768000.0,119,118,Coors Field
2014,COL,4,0,33090,5th of 15,95403500.0,116,116,Coors Field
2015,COL,5,0,30948,8th of 15,96438600.0,118,118,Coors Field
2016,COL,3,0,32130,6th of 15,89707000.0,116,116,Coors Field
2017,COL,3,1,36465,5th of 15,106650000.0,116,117,Coors Field
2018,COL,2,1,37233,5th of 15,136658500.0,117,117,Coors Field
2019,COL,4,0,36954,4th of 15,145348500.0,118,118,Coors Field
1995,DET,4,0,16402,11th of 14,37044168.0,102,100,Tiger Stadium
1996,DET,5,0,14427,13th of 14,23438000.0,102,100,Tiger Stadium
1997,DET,3,0,16854,13th of 14,17272000.0,100,99,Tiger Stadium
1998,DET,5,0,17400,11th of 14,24265000.0,101,100,Tiger Stadium
1999,DET,3,0,25018,9th of 14,36689666.0,100,99,Tiger Stadium
2000,DET,3,0,30106,7th of 14,59645167.0,95,94,Comerica Park
2001,DET,4,0,23720,9th of 14,53416167.0,95,93,Comerica Park
2002,DET,5,0,18795,12th of 14,55048000.0,95,92,Comerica Park
2003,DET,5,0,16892,13th of 14,49168000.0,95,93,Comerica Park
2004,DET,4,0,23667,9th of 14,46832000.0,96,94,Comerica Park
2005,DET,4,0,24993,10th of 14,69092000.0,97,97,Comerica Park
2006,DET,2,1,32049,5th of 14,82612866.0,99,100,Comerica Park
2007,DET,2,0,37619,3rd of 14,95180369.0,101,102,Comerica Park
2008,DET,5,0,39539,3rd of 14,138785196.0,102,102,Comerica Park
2009,DET,2,0,31693,4th of 14,119510145.0,101,101,Comerica Park
2010,DET,3,0,30386,6th of 14,124039928.0,101,102,Comerica Park
2011,DET,1,1,32618,6th of 14,106875231.0,101,102,Comerica Park
2012,DET,1,1,37383,5th of 14,131394000.0,104,105,Comerica Park
2013,DET,1,1,38067,3rd of 15,154407000.0,104,104,Comerica Park
2014,DET,1,1,36015,4th of 15,169135500.0,101,101,Comerica Park
2015,DET,5,0,33655,5th of 15,172284750.0,99,99,Comerica Park
2016,DET,2,0,31173,7th of 15,199902000.0,101,100,Comerica Park
2017,DET,5,0,28662,7th of 15,118375600.0,102,101,Comerica Park
2018,DET,3,0,22926,10th of 15,111531000.0,105,103,Comerica Park
2019,DET,5,0,18536,12th of 15,100618500.0,104,102,Comerica Park
1995,HOU,2,0,18942,9th of 14,34169834.0,92,92,Astrodome
1996,HOU,2,0,24394,7th of 14,28487000.0,91,92,Astrodome
1997,HOU,1,1,25269,8th of 14,34777500.0,95,96,Astrodome
1998,HOU,1,1,30351,8th of 16,42374000.0,97,98,Astrodome
1999,HOU,1,1,33000,8th of 16,55114000.0,98,99,Astrodome
2000,HOU,4,0,37730,5th of 16,51289111.0,107,107,Enron Field
2001,HOU,1,1,35855,5th of 16,60612667.0,106,106,Enron Field
2002,HOU,2,0,31078,9th of 16,63448417.0,105,106,Minute Maid Park
2003,HOU,2,0,30299,6th of 16,71040000.0,102,103,Minute Maid Park
2004,HOU,2,1,38122,5th of 16,75397000.0,100,101,Minute Maid Park
2005,HOU,2,1,34627,7th of 16,76779000.0,100,101,Minute Maid Park
2006,HOU,2,0,37318,6th of 16,100894435.0,99,100,Minute Maid Park
2007,HOU,4,0,37289,7th of 16,87759000.0,100,100,Minute Maid Park
2008,HOU,3,0,34744,8th of 16,87946807.0,98,97,"Minute Maid Park, Miller Park"
2009,HOU,5,0,31124,9th of 16,105804414.0,98,98,Minute Maid Park
2010,HOU,4,0,28784,10th of 16,93216000.0,98,97,Minute Maid Park
2011,HOU,6,0,25519,13th of 16,71110500.0,99,98,Minute Maid Park
2012,HOU,6,0,19849,16th of 16,37651000.0,102,100,Minute Maid Park
2013,HOU,5,0,20394,13th of 15,14672300.0,101,99,Minute Maid Park
2014,HOU,4,0,21628,12th of 15,44736800.0,101,100,Minute Maid Park
2015,HOU,2,1,26587,11th of 15,93256200.0,97,97,Minute Maid Park
2016,HOU,3,0,28477,8th of 15,89498000.0,93,94,Minute Maid Park
2017,HOU,1,2,29675,6th of 15,157656400.0,93,94,Minute Maid Park
